,Area,WC,PN,Price,Floor,HouseType,Location
164,36.0,1.6666666666666667,2.6666666666666665,4.79,3.0,5.5437090053763445,6.305351941747572
165,60.0,3.0,2.0,3.9,2.0,6.589457364341085,6.308395494367961
166,34.0,2.0,2.0,2.39,2.0,5.5437090053763445,5.831480472297911
167,100.0,2.0,3.0,2.6,2.0,5.5437090053763445,4.2203448275862065
168,56.0,5.0,5.0,9.8,5.0,5.5437090053763445,6.305351941747572
169,98.0,2.0,4.0,5.0,1.0,5.5437090053763445,5.583661764705883
170,40.0,3.0,3.0,5.5,4.0,7.485200839463087,5.624838426204724
171,46.0,3.0,4.0,4.5,3.0,5.5437090053763445,5.583661764705883
174,56.0,4.0,4.0,6.5,3.0,5.5437090053763445,5.831480472297911
175,67.0,2.0,2.0,2.98,2.0,5.5437090053763445,4.2203448275862065
176,59.0,4.0,5.0,6.3,5.0,5.5437090053763445,6.305351941747572
178,96.0,1.0,3.0,4.6,1.0,5.5437090053763445,6.42252427184466
179,80.0,6.0,5.0,13.6,5.0,7.485200839463087,5.831480472297911
180,70.0,2.0,3.0,4.7,2.0,5.5437090053763445,5.2687857142857135
181,51.0,3.0,4.0,5.0,2.0,5.5437090053763445,5.624838426204724
182,46.0,3.0,3.0,5.2,3.0,5.5437090053763445,5.2687857142857135
184,36.0,3.0,4.0,3.78,3.0,5.5437090053763445,7.197767857142857
185,61.0,1.0,2.0,3.0,1.0,5.5437090053763445,5.583661764705883
186,32.0,2.0,2.0,3.0,2.0,5.5437090053763445,5.2687857142857135
187,48.0,2.0,2.0,4.85,2.0,5.5437090053763445,5.624838426204724
188,49.0,2.0,2.0,3.33,2.0,5.5437090053763445,5.2687857142857135
189,45.0,2.0,3.3333333333333335,4.49,1.0,5.5437090053763445,6.305351941747572
190,40.0,3.0,3.0,3.9,2.0,5.5437090053763445,5.831480472297911
191,76.0,3.0,4.0,3.8,1.0,5.5437090053763445,5.831480472297911
193,50.0,3.0,4.0,5.0,3.0,7.485200839463087,5.4311051212938
194,90.0,1.0,2.0,4.8,1.0,7.485200839463087,5.4311051212938
195,64.0,3.0,3.0,4.2,2.0,5.5437090053763445,5.624838426204724
196,40.0,2.3333333333333335,2.0,3.65,2.0,5.5437090053763445,5.831480472297911
197,44.0,3.0,3.0,3.7,3.0,5.5437090053763445,5.831480472297911
198,42.0,2.0,2.0,3.5,2.0,5.5437090053763445,6.305351941747572
199,50.0,2.0,3.0,3.6,2.0,5.5437090053763445,5.2687857142857135
200,55.0,2.3333333333333335,4.0,5.2,3.0,5.5437090053763445,5.2687857142857135
201,56.0,2.0,2.0,7.2,1.0,7.485200839463087,5.831480472297911
202,32.0,2.3333333333333335,3.3333333333333335,4.79,3.0,5.5437090053763445,6.305351941747572
203,40.0,3.0,3.0,4.0,1.0,5.5437090053763445,5.583661764705883
204,40.0,2.0,4.0,2.7,2.0,5.5437090053763445,4.2203448275862065
205,50.0,3.0,4.0,5.0,3.0,5.5437090053763445,5.4311051212938
206,66.0,3.0,2.0,3.3,3.0,5.5437090053763445,4.2203448275862065
207,86.0,2.0,3.0,3.9,2.0,7.485200839463087,4.4555384615384614
208,60.0,2.0,4.0,3.3,2.0,5.5437090053763445,4.2203448275862065
209,44.0,2.0,2.0,2.9,2.0,5.5437090053763445,5.2687857142857135
211,50.0,3.0,3.0,5.5,1.0,5.5437090053763445,5.831480472297911
212,18.0,2.0,1.0,1.9,3.0,5.5437090053763445,6.308395494367961
213,89.0,2.0,3.0,3.15,2.0,5.5437090053763445,4.4555384615384614
216,22.0,2.0,2.0,2.49,1.0,5.5437090053763445,6.305351941747572
217,120.0,3.0,3.0,7.8,1.0,7.485200839463087,5.624838426204724
218,45.0,3.0,3.0,7.8,4.0,5.5437090053763445,6.305351941747572
220,89.0,2.0,3.0,3.15,1.0,5.5437090053763445,4.4555384615384614
221,81.0,4.0,4.0,5.7,2.0,5.5437090053763445,5.624838426204724
222,60.0,2.0,2.0,3.1,2.0,5.5437090053763445,5.2687857142857135
223,80.0,3.0,2.0,5.2,2.0,5.5437090053763445,5.831480472297911
226,42.0,2.0,2.0,4.5,2.3333333333333335,5.5437090053763445,5.831480472297911
227,55.0,3.0,4.0,4.8,1.6666666666666667,5.5437090053763445,6.305351941747572
228,42.0,2.0,2.0,2.8,1.6666666666666667,5.5437090053763445,5.831480472297911
230,94.0,1.0,2.0,4.55,1.0,5.5437090053763445,5.583661764705883
232,93.0,5.0,4.0,16.0,5.0,7.485200839463087,5.583661764705883
233,56.0,2.6666666666666665,2.3333333333333335,4.54,1.0,5.5437090053763445,6.305351941747572
235,50.0,3.0,4.0,10.99,6.0,7.485200839463087,5.831480472297911
236,58.0,6.0,5.0,8.5,4.0,5.5437090053763445,7.197767857142857
238,45.0,5.0,4.0,5.4,3.0,6.589457364341085,6.308395494367961
239,56.0,3.0,4.0,4.9,2.3333333333333335,5.5437090053763445,6.305351941747572
243,45.0,4.0,3.0,4.5,3.0,5.5437090053763445,5.831480472297911
244,72.0,2.0,2.0,4.8,2.0,5.5437090053763445,5.2687857142857135
245,75.0,2.0,4.0,4.8,3.0,5.5437090053763445,5.831480472297911
246,75.0,2.0,4.0,4.8,2.0,5.5437090053763445,5.831480472297911
247,35.0,3.0,2.0,4.6,2.0,5.5437090053763445,5.831480472297911
249,58.0,2.0,3.0,4.9,2.0,5.5437090053763445,5.831480472297911
250,54.0,3.3333333333333335,3.0,6.1,3.0,7.485200839463087,5.2687857142857135
251,80.0,3.0,4.0,2.9,3.0,5.5437090053763445,5.831480472297911
252,150.0,2.6666666666666665,3.0,10.5,4.0,7.485200839463087,4.4555384615384614
253,60.0,3.0,4.0,3.8,3.0,5.5437090053763445,4.4555384615384614
